Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oxidative Phosphorylation	161/200	4.18428762066199e-56	2.092143810331e-54	0	0	11.3760554064044	1450.59983041001	ACAA2;ECI1;COX6A1;PHB2;TOMM22;MTRF1;PMPCA;ATP6V1E1;ACAA1;PDHX;ATP6V1G1;ATP6V0E1;ECH1;SDHC;SDHA;ATP1B1;SDHB;COX6B1;OXA1L;COX7A2L;FDX1;UQCRC1;VDAC3;VDAC2;SUCLG1;VDAC1;UQCRC2;ISCU;RETSAT;UQCRB;ABCB7;COX15;COX17;ATP5MC2;ATP5MC3;HTRA2;COX7A2;MRPL15;UQCRH;MRPL11;ATP5MC1;ACAT1;TIMM50;PRDX3;RHOT2;RHOT1;ATP6V1H;CYC1;NDUFV2;ATP6V1D;ATP5MG;ATP6V1C1;ATP5MF;COX10;DECR1;ATP6V1F;ATP5ME;SURF1;GOT2;CS;GLUD1;UQCRQ;OGDH;CYCS;ACO2;GPI;COX7B;MRPS15;SLC25A3;ACADVL;ALAS1;MRPS11;COX4I1;MRPS12;HCCS;ETFA;ETFB;TCIRG1;MRPL34;MRPL35;CASP7;AIFM1;OPA1;IDH3B;TIMM17A;UQCRFS1;ACADM;IDH3A;COX8A;BCKDHA;ATP6V0B;ATP6AP1;GPX4;MRPS22;NDUFC2;NDUFC1;HADHB;HADHA;BDH2;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A12;DLD;SLC25A11;SLC25A4;FH;NDUFB8;ECHS1;NDUFB7;NDUFB6;NDUFB5;TIMM9;NDUFB4;NDUFB3;TIMM13;NDUFB2;ETFDH;DLST;NDUFB1;UQCR11;UQCR10;TIMM10;PDHB;COX5B;COX5A;HSD17B10;ATP5F1A;ATP5F1B;MFN2;POLR2F;NDUFA9;TIMM8B;ATP5PF;NDUFA8;CYB5A;NDUFA7;ATP5PD;NDUFA6;MDH1;NDUFA5;ATP5PB;MTX2;MDH2;NDUFA4;IDH3G;NDUFA2;NDUFA1;IMMT;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;SUCLA2;NDUFAB1;ATP5PO;BAX
Myc Targets V1	124/200	4.3737698279314e-25	1.09344245698285e-23	0	0	4.45342070565376	249.787922985463	HDDC2;HNRNPU;HNRNPR;PHB2;UBE2L3;RRP9;PSMD8;PSMD7;SNRPD1;RUVBL2;PSMD3;PSMD1;TXNL4A;KPNA2;SMARCC1;STARD7;MRPS18B;UBE2E1;ILF2;TUFM;CLNS1A;VDAC3;SNRPG;NHP2;VDAC1;ERH;HPRT1;PPIA;KPNB1;SET;PSMD14;GLO1;CSTF2;CUL1;PHB;GSPT1;PRDX3;PRDX4;PCBP1;G3BP1;ORC2;PGK1;CYC1;XRCC6;NOP16;CBX3;GOT2;PA2G4;MRPL23;EIF2S2;EIF2S1;SRPK1;LSM2;AIMP2;LSM7;COPS5;CDK4;UBA2;RNPS1;HNRNPC;EIF4G2;YWHAE;SLC25A3;HSP90AB1;SYNCRIP;C1QBP;MRPL9;ACP1;CCT3;CCT2;RFC4;VBP1;NCBP2;PABPC4;RAD23B;NME1;PSMA6;PSMA4;PSMA1;PSMA2;TCP1;SNRPA1;MCM5;HDAC2;SF3B3;U2AF1;COX5A;PSMA7;HSPD1;SRM;PPM1G;EXOSC7;PSMB2;PSMB3;TRA2B;FAM120A;POLD2;EIF4H;SNRPB2;BUB3;CCT7;HNRNPA1;EIF4E;CCT5;CCT4;RANBP1;NPM1;HNRNPA3;PTGES3;HSPE1;RSL1D1;PSMC6;PSMC4;APEX1;HNRNPA2B1;SERBP1;NDUFAB1;EIF3J;PRPF31;SSBP1;ABCE1;EIF3D;RAN;EIF3B
Interferon Gamma Response	114/200	4.88919290183792e-19	8.14865483639654e-18	0	0	3.60890095620352	152.158805212312	CD86;SAMD9L;SPPL2A;UBE2L6;IFI35;IFI30;ICAM1;NAMPT;DHX58;TNFSF10;EPSTI1;PIM1;TRIM25;TRIM26;B2M;CMTR1;HERC6;IFNAR2;IL15RA;IL4R;SP110;HLA-B;TAP1;TRAFD1;ARID5B;HLA-A;HLA-G;NUP93;IFI27;MTHFD2;TRIM14;PSME2;SERPING1;LAP3;LY6E;CD274;CSF2RB;HIF1A;SOCS3;RNF213;ST8SIA4;ISOC1;HLA-DQA1;IFI44;ISG15;PARP14;PARP12;NFKB1;BST2;ISG20;SELP;NFKBIA;CXCL10;IL7;XAF1;HLA-DRB1;MYD88;LGALS3BP;CD40;CDKN1A;BTG1;EIF4E3;TNFAIP6;SECTM1;TNFAIP3;ADAR;IFIH1;CASP7;CASP8;CASP4;CASP1;PDE4B;JAK2;NCOA3;VAMP8;PSMA3;PSMA2;IRF4;IRF1;OAS3;IRF2;PELI1;LCP2;IRF5;RAPGEF6;VAMP5;IRF9;RNF31;C1R;MVP;SRI;SAMHD1;USP18;PSMB10;HLA-DMA;PSMB2;GBP4;CD74;PTPN1;STAT1;STAT2;IL10RA;P2RY14;STAT3;MX1;PSMB8;PML;PSMB9;ZNFX1;IL2RB;FAS;PTPN6;PTPN2;PFKP
mTORC1 Signaling	111/200	2.13687223542512e-17	2.6710902942814e-16	0	0	3.39286573857087	130.233805741538	TFRC;PITPNB;UBE2D3;ARPC5L;SLA;ENO1;IFI30;RRP9;TBK1;NAMPT;FDXR;PSPH;MAP2K3;STARD4;ACLY;DDX39A;MTHFD2;PPA1;PSME3;DDIT4;HMBS;TRIB3;HPRT1;SQSTM1;PPIA;SKAP2;PSMD12;PSMD14;SHMT2;PSMD13;INSIG1;RPN1;PIK3R3;DAPP1;SLC1A4;CORO1A;HSP90B1;ATP5MC1;STIP1;RDH11;PRDX1;SERPINH1;PGK1;LTA4H;ATP6V1D;SDF2L1;PNO1;HSPA4;ASNS;EIF2S2;CCT6A;SQLE;SLC6A6;GCLC;COPS5;P4HA1;NMT1;PSMG1;CALR;LGMN;NFKBIB;GPI;GSK3B;CDKN1A;GBE1;ATP2A2;HK2;SLC37A4;CTSC;PGM1;ACTR3;ACTR2;TPI1;HMGCS1;ELOVL5;SORD;CACYBP;TUBG1;UCHL5;PSMA3;PSMA4;ALDOA;EEF1E1;GAPDH;RAB1A;TOMM40;USO1;GLRX;ADD3;HSPD1;PSMB5;YKT6;LDLR;SEC11A;CYB5B;NFYC;TXNRD1;GSR;RPA1;IMMT;PDAP1;GTF2H1;HSPE1;PFKL;PSMC6;PSMC4;PSAT1;PSMC2;CCNG1;TCEA1;GLA
Adipogenesis	105/200	2.36948550041296e-14	2.36948550041296e-13	0	0	3.00213371266003	94.1874974498353	MTCH2;ACAA2;ARAF;GHITM;COX6A1;LIPE;SCP2;PIM3;HADH;APLP2;ECH1;TALDO1;SDHC;CMBL;SDHB;ACLY;UQCRC1;SUCLG1;PREB;RTN3;CD151;PFKFB3;RETSAT;AK2;BAZ2A;ABCB8;MRPL15;PRDX3;BCL2L13;DHRS7B;UBC;G3BP2;CYC1;SLC19A1;DECR1;STAT5A;ABCA1;ESRRA;GADD45A;EPHX2;COQ9;DNAJC15;COQ5;CS;COQ3;UCK1;BCL6;UQCRQ;NMT1;PEMT;NABP1;ACO2;COX7B;GBE1;ETFB;GPHN;AIFM1;ACADM;ACADS;PGM1;YWHAG;HIBCH;IDH3A;COX8A;BCKDHA;JAGN1;GPX4;CHUK;ELMOD3;PPM1B;TST;ACOX1;CAT;NDUFS3;PLIN2;ALDOA;TKT;DLD;ECHS1;NDUFB7;UQCR11;UQCR10;TANK;AGPAT3;SAMM50;GPAT4;UCP2;UBQLN1;MAP4K3;CDKN2C;CAVIN1;NDUFA5;RIOK3;MDH2;IDH3G;SQOR;IMMT;FAH;PEX14;SOD1;PFKL;CCNG2;NDUFAB1;ATP5PO;ESYT1
Protein Secretion	60/96	4.30695054416276e-13	3.58912545346896e-12	0	0	4.50741361126621	128.341282926851	ARF1;CLTC;SNAP23;ICA1;CLTA;RAB22A;AP1G1;LAMP2;KIF1B;ARFIP1;AP2M1;CTSC;RAB2A;STX7;COG2;ADAM10;AP3B1;SCAMP3;VAMP7;RER1;TMX1;ZW10;ERGIC3;VAMP4;SEC22B;VAMP3;NAPA;COPB2;STX12;TMED10;TSG101;SGMS1;STX16;GOSR2;USO1;CLCN3;NAPG;CLN5;LMAN1;SNX2;AP2S1;ATP6V1H;YKT6;SEC31A;ABCA1;GBF1;STAM;IGF2R;SOD1;GALC;RAB14;PPT1;YIPF6;ANP32E;RAB9A;SEC24D;PAM;RAB5A;GLA;COPE
DNA Repair	81/150	3.08104845870636e-12	2.20074889907597e-11	0	0	3.18000584909339	84.2884437494838	ARL6IP1;MPG;POLB;MRPL40;CLP1;MPC2;SNAPC4;PDE4B;ELOA;DGCR8;POLL;TK2;NELFE;RFC4;GPX4;NCBP2;RFC2;NME3;EDF1;GTF2F1;RBX1;DDB2;NME1;APRT;NT5C3A;DDB1;HCLS1;HPRT1;SRSF6;UMPS;TP53;EIF1B;VPS28;GTF2A2;TSG101;CANT1;GTF3C5;CSTF3;GMPR2;COX17;TAF9;SUPT4H1;AK3;AAAS;POLD3;NT5C;DGUOK;POLD4;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;RAE1;SF3A3;SURF1;BRF2;TAF12;POLR3GL;ALYREF;TAF10;ADRM1;UPF3B;GTF2H1;SSRP1;SUPT5H;GTF2H3;TARBP2;GTF2H5;NUDT21;POLA2;ERCC3;ERCC4;ERCC1;RPA3;ERCC2;ERCC8;ITPA
Interferon Alpha Response	57/97	5.91141395483768e-11	3.69463372177355e-10	0	0	3.85062779017857	90.6882566756463	LGALS3BP;SAMD9L;CSF1;UBE2L6;ADAR;IFI35;TMEM140;IFI30;IFIH1;CASP8;DHX58;CCRL2;EPSTI1;CASP1;TRIM25;TRIM26;B2M;CMTR1;HERC6;IL4R;SP110;TAP1;HLA-C;TRAFD1;PARP9;PSMA3;IFI27;OAS1;IRF1;IRF2;TRIM14;PSME2;LAP3;IRF9;LY6E;RNF31;CNP;SAMD9;USP18;MVB12A;GBP2;GBP4;CD74;STAT2;MX1;IFI44;ISG15;PARP14;PARP12;PSMB8;PSMB9;BST2;ISG20;CXCL10;MOV10;SELL;IL7
PI3K/AKT/mTOR  Signaling	59/105	3.30047564515576e-10	1.83359758064209e-09	0	0	3.46571657416547	75.6627768202041	ATF1;GSK3B;CDKN1A;ARF1;CDKN1B;YWHAB;CAB39L;UBE2D3;CLTC;PTEN;PRKAG1;SLA;ECSIT;TBK1;PPP2R1B;RPS6KA1;CFL1;RAC1;MAP3K7;HRAS;AP2M1;MAP2K3;ACTR3;VAV3;ACTR2;DUSP3;TRAF2;TIAM1;LCK;CSNK2B;AKT1S1;TRIB3;RAF1;PFN1;SQSTM1;RALB;CAB39;MAPKAP1;PIK3R3;DAPP1;IL2RG;HSP90B1;MAPK8;MKNK1;THEM4;EIF4E;PAK4;SMAD2;STAT2;PTPN11;PPP1CA;CDK4;ARPC3;UBE2N;PIN1;GRB2;CALR;MYD88;NFKBIB
IL-2/STAT5 Signaling	94/199	1.01492622501882e-09	5.07463112509412e-09	0	0	2.4249734656927	50.2174415517531	CD86;CYFIP1;PHTF2;RNH1;CD83;BMPR2;CSF1;CTSZ;RORA;AHR;IKZF2;IKZF4;PDCD2L;HK2;SPRED2;CCND2;NFKBIZ;TNFSF10;PIM1;CTLA4;TNFRSF8;MAP3K8;ITGAV;CCR4;TNFRSF4;PHLDA1;WLS;IL10;BATF3;IL4R;CISH;GPX4;GSTO1;IL1R2;NCOA3;ANXA4;PUS1;SWAP70;TNFRSF18;RHOH;TRAF1;TNFRSF1B;RHOB;TIAM1;IRF4;PTRH2;MAPKAPK2;IL3RA;PLIN2;LTB;UMPS;PLPP1;AHCY;FURIN;NDRG1;COCH;CD79B;SOCS2;IL1RL1;SYNGR2;PLAGL1;LRRC8C;SNX9;ICOS;DCPS;GBP4;PRNP;RABGAP1L;POU2F1;IL10RA;TNFRSF9;HUWE1;FAH;IGF2R;BATF;SELP;CXCL10;MYO1E;UCK2;KLF6;AMACR;P2RX4;MYO1C;P4HA1;SELL;SYT11;SNX14;IL2RA;IL2RB;BCL2;GALM;EEF1AKMT1;IL18R1;BCL2L1
