c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34
Post non-responsive	1040	773	687	552	384	555	596	561	647	496	138	448	258	465	435	498	366	901	176	235	364	115	77	321	279	109	197	190	98	114	250	33	31	0
Post responsive	2204	1598	1210	1582	1616	1409	1269	1329	1253	1319	3195	1238	1894	1112	1483	1071	927	1292	1463	1118	1111	1755	198	401	714	1707	623	309	170	642	271	81	50	0
Treatment naive	3576	3479	3521	3210	3203	3088	3036	2904	2791	2834	1229	2859	2306	2668	2223	2407	2432	1342	1708	1956	1547	1130	2316	1801	1493	538	1087	1355	1555	853	510	757	209	70
