Group	Sample	seurat_clusters	.n
Post non-responsive	P13_post_2	c1	411
Post non-responsive	P13_post_2	c2	187
Post non-responsive	P13_post_2	c3	174
Post non-responsive	P13_post_2	c4	96
Post non-responsive	P13_post_2	c5	93
Post non-responsive	P13_post_2	c6	181
Post non-responsive	P13_post_2	c7	158
Post non-responsive	P13_post_2	c8	161
Post non-responsive	P13_post_2	c9	263
Post non-responsive	P13_post_2	c10	223
Post non-responsive	P13_post_2	c11	13
Post non-responsive	P13_post_2	c12	113
Post non-responsive	P13_post_2	c13	58
Post non-responsive	P13_post_2	c14	93
Post non-responsive	P13_post_2	c15	85
Post non-responsive	P13_post_2	c16	163
Post non-responsive	P13_post_2	c17	80
Post non-responsive	P13_post_2	c18	93
Post non-responsive	P13_post_2	c19	24
Post non-responsive	P13_post_2	c20	38
Post non-responsive	P13_post_2	c21	81
Post non-responsive	P13_post_2	c22	21
Post non-responsive	P13_post_2	c23	40
Post non-responsive	P13_post_2	c24	97
Post non-responsive	P13_post_2	c25	83
Post non-responsive	P13_post_2	c26	6
Post non-responsive	P13_post_2	c27	24
Post non-responsive	P13_post_2	c28	48
Post non-responsive	P13_post_2	c29	63
Post non-responsive	P13_post_2	c30	24
Post non-responsive	P13_post_2	c31	47
Post non-responsive	P13_post_2	c32	18
Post non-responsive	P13_post_2	c33	13
Post non-responsive	P1_post_3	c1	201
Post non-responsive	P1_post_3	c2	222
Post non-responsive	P1_post_3	c3	180
Post non-responsive	P1_post_3	c4	136
Post non-responsive	P1_post_3	c5	125
Post non-responsive	P1_post_3	c6	55
Post non-responsive	P1_post_3	c7	99
Post non-responsive	P1_post_3	c8	188
Post non-responsive	P1_post_3	c9	104
Post non-responsive	P1_post_3	c10	74
Post non-responsive	P1_post_3	c11	30
Post non-responsive	P1_post_3	c12	79
Post non-responsive	P1_post_3	c13	63
Post non-responsive	P1_post_3	c14	96
Post non-responsive	P1_post_3	c15	55
Post non-responsive	P1_post_3	c16	77
Post non-responsive	P1_post_3	c17	108
Post non-responsive	P1_post_3	c18	35
Post non-responsive	P1_post_3	c19	40
Post non-responsive	P1_post_3	c20	82
Post non-responsive	P1_post_3	c21	94
Post non-responsive	P1_post_3	c22	17
Post non-responsive	P1_post_3	c23	5
Post non-responsive	P1_post_3	c24	44
Post non-responsive	P1_post_3	c25	69
Post non-responsive	P1_post_3	c26	11
Post non-responsive	P1_post_3	c27	18
Post non-responsive	P1_post_3	c28	35
Post non-responsive	P1_post_3	c29	9
Post non-responsive	P1_post_3	c30	32
Post non-responsive	P1_post_3	c31	17
Post non-responsive	P1_post_3	c32	6
Post non-responsive	P1_post_3	c33	4
Post non-responsive	P36_post_1	c1	358
Post non-responsive	P36_post_1	c2	293
Post non-responsive	P36_post_1	c3	266
Post non-responsive	P36_post_1	c4	230
Post non-responsive	P36_post_1	c5	115
Post non-responsive	P36_post_1	c6	299
Post non-responsive	P36_post_1	c7	315
Post non-responsive	P36_post_1	c8	152
Post non-responsive	P36_post_1	c9	244
Post non-responsive	P36_post_1	c10	166
Post non-responsive	P36_post_1	c11	14
Post non-responsive	P36_post_1	c12	190
Post non-responsive	P36_post_1	c13	97
Post non-responsive	P36_post_1	c14	228
Post non-responsive	P36_post_1	c15	240
Post non-responsive	P36_post_1	c16	236
Post non-responsive	P36_post_1	c17	105
Post non-responsive	P36_post_1	c18	25
Post non-responsive	P36_post_1	c19	40
Post non-responsive	P36_post_1	c20	62
Post non-responsive	P36_post_1	c21	104
Post non-responsive	P36_post_1	c22	49
Post non-responsive	P36_post_1	c23	6
Post non-responsive	P36_post_1	c24	55
Post non-responsive	P36_post_1	c25	103
Post non-responsive	P36_post_1	c26	13
Post non-responsive	P36_post_1	c27	100
Post non-responsive	P36_post_1	c28	32
Post non-responsive	P36_post_1	c29	6
Post non-responsive	P36_post_1	c30	31
Post non-responsive	P36_post_1	c31	29
Post non-responsive	P36_post_1	c32	4
Post non-responsive	P36_post_1	c33	11
Post non-responsive	P37_post_1	c1	2
Post non-responsive	P37_post_1	c2	7
Post non-responsive	P37_post_1	c3	11
Post non-responsive	P37_post_1	c4	15
Post non-responsive	P37_post_1	c5	16
Post non-responsive	P37_post_1	c6	5
Post non-responsive	P37_post_1	c7	4
Post non-responsive	P37_post_1	c8	4
Post non-responsive	P37_post_1	c9	14
Post non-responsive	P37_post_1	c10	14
Post non-responsive	P37_post_1	c11	7
Post non-responsive	P37_post_1	c12	7
Post non-responsive	P37_post_1	c13	14
Post non-responsive	P37_post_1	c14	10
Post non-responsive	P37_post_1	c15	8
Post non-responsive	P37_post_1	c16	12
Post non-responsive	P37_post_1	c17	9
Post non-responsive	P37_post_1	c18	101
Post non-responsive	P37_post_1	c19	7
Post non-responsive	P37_post_1	c20	6
Post non-responsive	P37_post_1	c21	5
Post non-responsive	P37_post_1	c22	4
Post non-responsive	P37_post_1	c24	14
Post non-responsive	P37_post_1	c25	4
Post non-responsive	P37_post_1	c26	6
Post non-responsive	P37_post_1	c27	5
Post non-responsive	P37_post_1	c28	11
Post non-responsive	P37_post_1	c29	1
Post non-responsive	P37_post_1	c30	1
Post non-responsive	P37_post_1	c31	24
Post non-responsive	P37_post_1	c33	1
Post non-responsive	P38_post_1	c1	68
Post non-responsive	P38_post_1	c2	64
Post non-responsive	P38_post_1	c3	56
Post non-responsive	P38_post_1	c4	75
Post non-responsive	P38_post_1	c5	35
Post non-responsive	P38_post_1	c6	15
Post non-responsive	P38_post_1	c7	20
Post non-responsive	P38_post_1	c8	56
Post non-responsive	P38_post_1	c9	22
Post non-responsive	P38_post_1	c10	19
Post non-responsive	P38_post_1	c11	74
Post non-responsive	P38_post_1	c12	59
Post non-responsive	P38_post_1	c13	26
Post non-responsive	P38_post_1	c14	38
Post non-responsive	P38_post_1	c15	47
Post non-responsive	P38_post_1	c16	10
Post non-responsive	P38_post_1	c17	64
Post non-responsive	P38_post_1	c18	647
Post non-responsive	P38_post_1	c19	65
Post non-responsive	P38_post_1	c20	47
Post non-responsive	P38_post_1	c21	80
Post non-responsive	P38_post_1	c22	24
Post non-responsive	P38_post_1	c23	26
Post non-responsive	P38_post_1	c24	111
Post non-responsive	P38_post_1	c25	20
Post non-responsive	P38_post_1	c26	73
Post non-responsive	P38_post_1	c27	50
Post non-responsive	P38_post_1	c28	64
Post non-responsive	P38_post_1	c29	19
Post non-responsive	P38_post_1	c30	26
Post non-responsive	P38_post_1	c31	133
Post non-responsive	P38_post_1	c32	5
Post non-responsive	P38_post_1	c33	2
Post responsive	P10_post_1	c1	72
Post responsive	P10_post_1	c2	110
Post responsive	P10_post_1	c3	36
Post responsive	P10_post_1	c4	194
Post responsive	P10_post_1	c5	140
Post responsive	P10_post_1	c6	127
Post responsive	P10_post_1	c7	99
Post responsive	P10_post_1	c8	89
Post responsive	P10_post_1	c9	136
Post responsive	P10_post_1	c10	220
Post responsive	P10_post_1	c11	80
Post responsive	P10_post_1	c12	89
Post responsive	P10_post_1	c13	147
Post responsive	P10_post_1	c14	73
Post responsive	P10_post_1	c15	88
Post responsive	P10_post_1	c16	107
Post responsive	P10_post_1	c17	118
Post responsive	P10_post_1	c18	32
Post responsive	P10_post_1	c19	65
Post responsive	P10_post_1	c20	74
Post responsive	P10_post_1	c21	47
Post responsive	P10_post_1	c22	78
Post responsive	P10_post_1	c23	3
Post responsive	P10_post_1	c24	20
Post responsive	P10_post_1	c25	49
Post responsive	P10_post_1	c26	31
Post responsive	P10_post_1	c27	39
Post responsive	P10_post_1	c28	10
Post responsive	P10_post_1	c29	3
Post responsive	P10_post_1	c30	37
Post responsive	P10_post_1	c31	15
Post responsive	P10_post_1	c32	1
Post responsive	P13_post_1	c1	483
Post responsive	P13_post_1	c2	234
Post responsive	P13_post_1	c3	250
Post responsive	P13_post_1	c4	97
Post responsive	P13_post_1	c5	165
Post responsive	P13_post_1	c6	139
Post responsive	P13_post_1	c7	90
Post responsive	P13_post_1	c8	187
Post responsive	P13_post_1	c9	80
Post responsive	P13_post_1	c10	14
Post responsive	P13_post_1	c11	71
Post responsive	P13_post_1	c12	62
Post responsive	P13_post_1	c13	112
Post responsive	P13_post_1	c14	85
Post responsive	P13_post_1	c15	111
Post responsive	P13_post_1	c16	122
Post responsive	P13_post_1	c17	120
Post responsive	P13_post_1	c18	45
Post responsive	P13_post_1	c19	90
Post responsive	P13_post_1	c20	110
Post responsive	P13_post_1	c21	67
Post responsive	P13_post_1	c22	86
Post responsive	P13_post_1	c23	68
Post responsive	P13_post_1	c24	110
Post responsive	P13_post_1	c25	112
Post responsive	P13_post_1	c26	30
Post responsive	P13_post_1	c27	26
Post responsive	P13_post_1	c28	103
Post responsive	P13_post_1	c29	52
Post responsive	P13_post_1	c30	127
Post responsive	P13_post_1	c31	32
Post responsive	P13_post_1	c32	24
Post responsive	P13_post_1	c33	22
Post responsive	P19_post_1	c1	94
Post responsive	P19_post_1	c2	1
Post responsive	P19_post_1	c3	1
Post responsive	P19_post_1	c4	12
Post responsive	P19_post_1	c5	54
Post responsive	P19_post_1	c6	242
Post responsive	P19_post_1	c7	84
Post responsive	P19_post_1	c8	1
Post responsive	P19_post_1	c9	2
Post responsive	P19_post_1	c10	170
