Group	Sample	seurat_clusters	.n
Post responsive	P19_post_1	c11	2519
Post responsive	P19_post_1	c12	10
Post responsive	P19_post_1	c13	721
Post responsive	P19_post_1	c14	76
Post responsive	P19_post_1	c15	318
Post responsive	P19_post_1	c16	102
Post responsive	P19_post_1	c17	15
Post responsive	P19_post_1	c18	587
Post responsive	P19_post_1	c19	709
Post responsive	P19_post_1	c20	103
Post responsive	P19_post_1	c21	20
Post responsive	P19_post_1	c22	1162
Post responsive	P19_post_1	c23	2
Post responsive	P19_post_1	c24	7
Post responsive	P19_post_1	c25	7
Post responsive	P19_post_1	c26	1381
Post responsive	P19_post_1	c27	153
Post responsive	P19_post_1	c28	5
Post responsive	P19_post_1	c29	3
Post responsive	P19_post_1	c30	163
Post responsive	P19_post_1	c31	11
Post responsive	P1_post_1	c1	265
Post responsive	P1_post_1	c2	354
Post responsive	P1_post_1	c3	330
Post responsive	P1_post_1	c4	62
Post responsive	P1_post_1	c5	125
Post responsive	P1_post_1	c6	71
Post responsive	P1_post_1	c7	27
Post responsive	P1_post_1	c8	99
Post responsive	P1_post_1	c9	118
Post responsive	P1_post_1	c10	38
Post responsive	P1_post_1	c11	32
Post responsive	P1_post_1	c12	91
Post responsive	P1_post_1	c13	53
Post responsive	P1_post_1	c14	166
Post responsive	P1_post_1	c15	55
Post responsive	P1_post_1	c16	46
Post responsive	P1_post_1	c17	44
Post responsive	P1_post_1	c18	39
Post responsive	P1_post_1	c19	54
Post responsive	P1_post_1	c20	94
Post responsive	P1_post_1	c21	76
Post responsive	P1_post_1	c22	24
Post responsive	P1_post_1	c23	9
Post responsive	P1_post_1	c24	73
Post responsive	P1_post_1	c25	156
Post responsive	P1_post_1	c26	10
Post responsive	P1_post_1	c27	4
Post responsive	P1_post_1	c28	40
Post responsive	P1_post_1	c29	5
Post responsive	P1_post_1	c30	40
Post responsive	P1_post_1	c31	37
Post responsive	P1_post_1	c32	18
Post responsive	P1_post_1	c33	10
Post responsive	P1_post_2	c1	225
Post responsive	P1_post_2	c2	187
Post responsive	P1_post_2	c3	195
Post responsive	P1_post_2	c4	150
Post responsive	P1_post_2	c5	212
Post responsive	P1_post_2	c6	120
Post responsive	P1_post_2	c7	84
Post responsive	P1_post_2	c8	148
Post responsive	P1_post_2	c9	171
Post responsive	P1_post_2	c10	201
Post responsive	P1_post_2	c11	72
Post responsive	P1_post_2	c12	164
Post responsive	P1_post_2	c13	118
Post responsive	P1_post_2	c14	126
Post responsive	P1_post_2	c15	81
Post responsive	P1_post_2	c16	58
Post responsive	P1_post_2	c17	114
Post responsive	P1_post_2	c18	34
Post responsive	P1_post_2	c19	77
Post responsive	P1_post_2	c20	130
Post responsive	P1_post_2	c21	199
Post responsive	P1_post_2	c22	50
Post responsive	P1_post_2	c23	38
Post responsive	P1_post_2	c24	62
Post responsive	P1_post_2	c25	83
Post responsive	P1_post_2	c26	23
Post responsive	P1_post_2	c27	37
Post responsive	P1_post_2	c28	51
Post responsive	P1_post_2	c29	18
Post responsive	P1_post_2	c30	56
Post responsive	P1_post_2	c31	17
Post responsive	P1_post_2	c32	12
Post responsive	P1_post_2	c33	5
Post responsive	P29_post_1	c1	83
Post responsive	P29_post_1	c2	59
Post responsive	P29_post_1	c3	73
Post responsive	P29_post_1	c4	37
Post responsive	P29_post_1	c5	39
Post responsive	P29_post_1	c6	58
Post responsive	P29_post_1	c7	40
Post responsive	P29_post_1	c8	35
Post responsive	P29_post_1	c9	10
Post responsive	P29_post_1	c10	42
Post responsive	P29_post_1	c11	73
Post responsive	P29_post_1	c12	35
Post responsive	P29_post_1	c13	69
Post responsive	P29_post_1	c14	53
Post responsive	P29_post_1	c15	54
Post responsive	P29_post_1	c16	39
Post responsive	P29_post_1	c17	23
Post responsive	P29_post_1	c18	50
Post responsive	P29_post_1	c19	51
Post responsive	P29_post_1	c20	61
Post responsive	P29_post_1	c21	27
Post responsive	P29_post_1	c22	59
Post responsive	P29_post_1	c23	19
Post responsive	P29_post_1	c24	52
Post responsive	P29_post_1	c25	20
Post responsive	P29_post_1	c26	23
Post responsive	P29_post_1	c27	19
Post responsive	P29_post_1	c28	26
Post responsive	P29_post_1	c29	16
Post responsive	P29_post_1	c30	39
Post responsive	P29_post_1	c31	23
Post responsive	P29_post_1	c32	4
Post responsive	P29_post_1	c33	9
Post responsive	P30_post_1	c1	412
Post responsive	P30_post_1	c2	452
Post responsive	P30_post_1	c3	159
Post responsive	P30_post_1	c4	251
Post responsive	P30_post_1	c5	277
Post responsive	P30_post_1	c6	408
Post responsive	P30_post_1	c7	473
Post responsive	P30_post_1	c8	271
Post responsive	P30_post_1	c9	223
Post responsive	P30_post_1	c10	149
Post responsive	P30_post_1	c11	126
Post responsive	P30_post_1	c12	157
Post responsive	P30_post_1	c13	347
Post responsive	P30_post_1	c14	245
Post responsive	P30_post_1	c15	394
Post responsive	P30_post_1	c16	368
Post responsive	P30_post_1	c17	199
Post responsive	P30_post_1	c18	149
Post responsive	P30_post_1	c19	58
Post responsive	P30_post_1	c20	138
Post responsive	P30_post_1	c21	115
Post responsive	P30_post_1	c22	62
Post responsive	P30_post_1	c23	6
Post responsive	P30_post_1	c24	21
Post responsive	P30_post_1	c25	190
Post responsive	P30_post_1	c26	30
Post responsive	P30_post_1	c27	99
Post responsive	P30_post_1	c28	11
Post responsive	P30_post_1	c29	40
Post responsive	P30_post_1	c30	43
Post responsive	P30_post_1	c31	87
Post responsive	P30_post_1	c32	4
Post responsive	P30_post_1	c33	1
Post responsive	P33_post_1	c1	337
Post responsive	P33_post_1	c2	152
Post responsive	P33_post_1	c3	126
Post responsive	P33_post_1	c4	261
Post responsive	P33_post_1	c5	228
Post responsive	P33_post_1	c6	69
Post responsive	P33_post_1	c7	163
Post responsive	P33_post_1	c8	208
Post responsive	P33_post_1	c9	233
Post responsive	P33_post_1	c10	236
Post responsive	P33_post_1	c11	110
Post responsive	P33_post_1	c12	333
Post responsive	P33_post_1	c13	125
Post responsive	P33_post_1	c14	150
Post responsive	P33_post_1	c15	171
Post responsive	P33_post_1	c16	88
Post responsive	P33_post_1	c17	75
Post responsive	P33_post_1	c18	202
Post responsive	P33_post_1	c19	180
Post responsive	P33_post_1	c20	193
Post responsive	P33_post_1	c21	119
Post responsive	P33_post_1	c22	123
Post responsive	P33_post_1	c23	38
Post responsive	P33_post_1	c24	27
Post responsive	P33_post_1	c25	48
Post responsive	P33_post_1	c26	84
Post responsive	P33_post_1	c27	135
Post responsive	P33_post_1	c28	20
Post responsive	P33_post_1	c29	30
Post responsive	P33_post_1	c30	66
Post responsive	P33_post_1	c31	35
Post responsive	P33_post_1	c32	10
Post responsive	P33_post_1	c33	3
Post responsive	P35_post_1	c1	233
Post responsive	P35_post_1	c2	49
Post responsive	P35_post_1	c3	40
Post responsive	P35_post_1	c4	518
Post responsive	P35_post_1	c5	376
Post responsive	P35_post_1	c6	175
Post responsive	P35_post_1	c7	209
Post responsive	P35_post_1	c8	291
Post responsive	P35_post_1	c9	280
Post responsive	P35_post_1	c10	249
Post responsive	P35_post_1	c11	112
Post responsive	P35_post_1	c12	297
Post responsive	P35_post_1	c13	202
Post responsive	P35_post_1	c14	138
Post responsive	P35_post_1	c15	211
Post responsive	P35_post_1	c16	141
Post responsive	P35_post_1	c17	219
Post responsive	P35_post_1	c18	154
Post responsive	P35_post_1	c19	179
Post responsive	P35_post_1	c20	215
Post responsive	P35_post_1	c21	441
Post responsive	P35_post_1	c22	111
Post responsive	P35_post_1	c23	15
Post responsive	P35_post_1	c24	29
Post responsive	P35_post_1	c25	49
Post responsive	P35_post_1	c26	95
Post responsive	P35_post_1	c27	111
Post responsive	P35_post_1	c28	43
Post responsive	P35_post_1	c29	3
Post responsive	P35_post_1	c30	71
Post responsive	P35_post_1	c31	14
Post responsive	P35_post_1	c32	8
Treatment naive	P10_pre	c1	165
Treatment naive	P10_pre	c2	136
Treatment naive	P10_pre	c3	157
Treatment naive	P10_pre	c4	397
Treatment naive	P10_pre	c5	454
Treatment naive	P10_pre	c6	225
Treatment naive	P10_pre	c7	159
Treatment naive	P10_pre	c8	487
Treatment naive	P10_pre	c9	207
Treatment naive	P10_pre	c10	111
Treatment naive	P10_pre	c11	108
Treatment naive	P10_pre	c12	286
Treatment naive	P10_pre	c13	198
Treatment naive	P10_pre	c14	97
Treatment naive	P10_pre	c15	110
Treatment naive	P10_pre	c16	211
Treatment naive	P10_pre	c17	467
Treatment naive	P10_pre	c18	63
Treatment naive	P10_pre	c19	168
Treatment naive	P10_pre	c20	304
Treatment naive	P10_pre	c21	174
Treatment naive	P10_pre	c22	75
Treatment naive	P10_pre	c23	307
Treatment naive	P10_pre	c24	191
Treatment naive	P10_pre	c25	74
Treatment naive	P10_pre	c26	57
Treatment naive	P10_pre	c27	76
Treatment naive	P10_pre	c28	156
Treatment naive	P10_pre	c29	168
Treatment naive	P10_pre	c30	94
Treatment naive	P10_pre	c31	11
Treatment naive	P10_pre	c32	31
Treatment naive	P10_pre	c33	13
Treatment naive	P11_pre	c1	98
Treatment naive	P11_pre	c2	73
Treatment naive	P11_pre	c3	76
Treatment naive	P11_pre	c4	88
Treatment naive	P11_pre	c5	59
Treatment naive	P11_pre	c6	76
Treatment naive	P11_pre	c7	109
Treatment naive	P11_pre	c8	52
Treatment naive	P11_pre	c9	60
Treatment naive	P11_pre	c10	32
Treatment naive	P11_pre	c11	14
Treatment naive	P11_pre	c12	70
Treatment naive	P11_pre	c13	54
Treatment naive	P11_pre	c14	57
Treatment naive	P11_pre	c15	118
Treatment naive	P11_pre	c16	93
Treatment naive	P11_pre	c17	44
Treatment naive	P11_pre	c18	74
Treatment naive	P11_pre	c19	27
Treatment naive	P11_pre	c20	28
Treatment naive	P11_pre	c21	48
Treatment naive	P11_pre	c22	25
Treatment naive	P11_pre	c23	5
Treatment naive	P11_pre	c24	32
Treatment naive	P11_pre	c25	28
Treatment naive	P11_pre	c26	8
Treatment naive	P11_pre	c27	31
Treatment naive	P11_pre	c28	44
Treatment naive	P11_pre	c29	8
Treatment naive	P11_pre	c30	13
Treatment naive	P11_pre	c31	30
Treatment naive	P11_pre	c32	2
Treatment naive	P11_pre	c33	6
Treatment naive	P12_pre	c1	132
Treatment naive	P12_pre	c2	101
Treatment naive	P12_pre	c3	102
Treatment naive	P12_pre	c4	95
Treatment naive	P12_pre	c5	84
Treatment naive	P12_pre	c6	214
Treatment naive	P12_pre	c7	207
Treatment naive	P12_pre	c8	59
Treatment naive	P12_pre	c9	91
Treatment naive	P12_pre	c10	84
Treatment naive	P12_pre	c11	41
Treatment naive	P12_pre	c12	82
Treatment naive	P12_pre	c13	130
Treatment naive	P12_pre	c14	73
Treatment naive	P12_pre	c15	178
Treatment naive	P12_pre	c16	174
Treatment naive	P12_pre	c17	77
Treatment naive	P12_pre	c18	26
Treatment naive	P12_pre	c19	33
Treatment naive	P12_pre	c20	47
Treatment naive	P12_pre	c21	47
Treatment naive	P12_pre	c22	44
Treatment naive	P12_pre	c23	37
Treatment naive	P12_pre	c24	69
Treatment naive	P12_pre	c25	41
Treatment naive	P12_pre	c26	16
Treatment naive	P12_pre	c27	78
Treatment naive	P12_pre	c28	31
Treatment naive	P12_pre	c29	88
Treatment naive	P12_pre	c30	16
Treatment naive	P12_pre	c31	6
Treatment naive	P12_pre	c32	12
Treatment naive	P12_pre	c33	6
Treatment naive	P13_pre	c1	47
Treatment naive	P13_pre	c2	96
Treatment naive	P13_pre	c3	82
Treatment naive	P13_pre	c4	44
Treatment naive	P13_pre	c5	96
Treatment naive	P13_pre	c6	40
Treatment naive	P13_pre	c7	25
Treatment naive	P13_pre	c8	105
Treatment naive	P13_pre	c9	48
Treatment naive	P13_pre	c10	19
Treatment naive	P13_pre	c11	9
Treatment naive	P13_pre	c12	52
Treatment naive	P13_pre	c13	33
Treatment naive	P13_pre	c14	32
Treatment naive	P13_pre	c15	29
Treatment naive	P13_pre	c16	26
Treatment naive	P13_pre	c17	34
Treatment naive	P13_pre	c18	7
Treatment naive	P13_pre	c19	29
Treatment naive	P13_pre	c20	57
Treatment naive	P13_pre	c21	36
Treatment naive	P13_pre	c22	9
Treatment naive	P13_pre	c23	26
Treatment naive	P13_pre	c24	20
Treatment naive	P13_pre	c25	36
Treatment naive	P13_pre	c26	14
Treatment naive	P13_pre	c27	12
Treatment naive	P13_pre	c28	12
Treatment naive	P13_pre	c29	11
Treatment naive	P13_pre	c30	22
Treatment naive	P13_pre	c31	5
Treatment naive	P13_pre	c32	7
Treatment naive	P13_pre	c33	4
Treatment naive	P14_pre	c1	102
Treatment naive	P14_pre	c2	105
Treatment naive	P14_pre	c3	38
Treatment naive	P14_pre	c4	125
Treatment naive	P14_pre	c5	148
Treatment naive	P14_pre	c6	105
Treatment naive	P14_pre	c7	59
Treatment naive	P14_pre	c8	196
Treatment naive	P14_pre	c9	124
Treatment naive	P14_pre	c10	79
Treatment naive	P14_pre	c11	6
Treatment naive	P14_pre	c12	126
Treatment naive	P14_pre	c13	64
Treatment naive	P14_pre	c14	46
Treatment naive	P14_pre	c15	24
Treatment naive	P14_pre	c16	87
Treatment naive	P14_pre	c17	147
Treatment naive	P14_pre	c18	39
Treatment naive	P14_pre	c19	27
Treatment naive	P14_pre	c20	52
Treatment naive	P14_pre	c21	51
Treatment naive	P14_pre	c22	19
Treatment naive	P14_pre	c23	13
Treatment naive	P14_pre	c24	18
Treatment naive	P14_pre	c25	53
Treatment naive	P14_pre	c26	5
Treatment naive	P14_pre	c27	14
Treatment naive	P14_pre	c28	21
Treatment naive	P14_pre	c29	5
Treatment naive	P14_pre	c30	7
Treatment naive	P14_pre	c31	14
Treatment naive	P14_pre	c32	5
Treatment naive	P15_pre	c1	49
Treatment naive	P15_pre	c2	125
Treatment naive	P15_pre	c3	146
Treatment naive	P15_pre	c4	76
Treatment naive	P15_pre	c5	56
Treatment naive	P15_pre	c6	70
Treatment naive	P15_pre	c7	52
Treatment naive	P15_pre	c8	54
Treatment naive	P15_pre	c9	40
Treatment naive	P15_pre	c10	52
Treatment naive	P15_pre	c11	24
Treatment naive	P15_pre	c12	61
Treatment naive	P15_pre	c13	48
Treatment naive	P15_pre	c14	50
Treatment naive	P15_pre	c15	33
Treatment naive	P15_pre	c16	41
Treatment naive	P15_pre	c17	56
Treatment naive	P15_pre	c18	22
Treatment naive	P15_pre	c19	34
Treatment naive	P15_pre	c20	50
Treatment naive	P15_pre	c21	25
Treatment naive	P15_pre	c22	30
Treatment naive	P15_pre	c23	15
Treatment naive	P15_pre	c24	22
Treatment naive	P15_pre	c25	39
Treatment naive	P15_pre	c26	15
Treatment naive	P15_pre	c27	59
Treatment naive	P15_pre	c28	16
Treatment naive	P15_pre	c29	9
Treatment naive	P15_pre	c30	13
Treatment naive	P15_pre	c31	26
Treatment naive	P15_pre	c32	8
Treatment naive	P15_pre	c33	9
Treatment naive	P16_pre	c1	51
Treatment naive	P16_pre	c2	43
Treatment naive	P16_pre	c3	24
Treatment naive	P16_pre	c4	49
Treatment naive	P16_pre	c5	109
Treatment naive	P16_pre	c6	128
Treatment naive	P16_pre	c7	41
Treatment naive	P16_pre	c8	61
Treatment naive	P16_pre	c9	50
Treatment naive	P16_pre	c10	44
Treatment naive	P16_pre	c11	28
Treatment naive	P16_pre	c12	40
Treatment naive	P16_pre	c13	76
Treatment naive	P16_pre	c14	38
Treatment naive	P16_pre	c15	18
Treatment naive	P16_pre	c16	52
Treatment naive	P16_pre	c17	39
Treatment naive	P16_pre	c18	37
Treatment naive	P16_pre	c19	36
Treatment naive	P16_pre	c20	79
Treatment naive	P16_pre	c21	16
Treatment naive	P16_pre	c22	36
Treatment naive	P16_pre	c23	10
Treatment naive	P16_pre	c24	3
Treatment naive	P16_pre	c25	34
Treatment naive	P16_pre	c26	12
Treatment naive	P16_pre	c27	13
Treatment naive	P16_pre	c28	6
Treatment naive	P16_pre	c29	2
Treatment naive	P16_pre	c30	9
Treatment naive	P16_pre	c31	9
Treatment naive	P17_pre	c1	56
Treatment naive	P17_pre	c2	37
Treatment naive	P17_pre	c3	84
Treatment naive	P17_pre	c4	24
Treatment naive	P17_pre	c5	31
Treatment naive	P17_pre	c6	25
Treatment naive	P17_pre	c7	24
Treatment naive	P17_pre	c8	29
Treatment naive	P17_pre	c9	69
Treatment naive	P17_pre	c10	51
Treatment naive	P17_pre	c11	72
Treatment naive	P17_pre	c12	43
Treatment naive	P17_pre	c13	24
Treatment naive	P17_pre	c14	75
Treatment naive	P17_pre	c15	22
Treatment naive	P17_pre	c16	27
Treatment naive	P17_pre	c17	23
Treatment naive	P17_pre	c18	35
Treatment naive	P17_pre	c19	63
Treatment naive	P17_pre	c20	17
Treatment naive	P17_pre	c21	19
Treatment naive	P17_pre	c22	44
Treatment naive	P17_pre	c23	5
Treatment naive	P17_pre	c24	40
Treatment naive	P17_pre	c25	27
Treatment naive	P17_pre	c26	10
Treatment naive	P17_pre	c27	8
Treatment naive	P17_pre	c28	20
Treatment naive	P17_pre	c29	7
Treatment naive	P17_pre	c30	47
Treatment naive	P17_pre	c31	12
Treatment naive	P17_pre	c32	5
Treatment naive	P17_pre	c33	8
Treatment naive	P18_pre	c1	125
Treatment naive	P18_pre	c2	150
Treatment naive	P18_pre	c3	140
Treatment naive	P18_pre	c4	171
Treatment naive	P18_pre	c5	93
Treatment naive	P18_pre	c6	121
Treatment naive	P18_pre	c7	120
Treatment naive	P18_pre	c8	52
Treatment naive	P18_pre	c9	67
Treatment naive	P18_pre	c10	81
Treatment naive	P18_pre	c11	58
Treatment naive	P18_pre	c12	77
Treatment naive	P18_pre	c13	86
Treatment naive	P18_pre	c14	97
Treatment naive	P18_pre	c15	94
Treatment naive	P18_pre	c16	94
Treatment naive	P18_pre	c17	149
Treatment naive	P18_pre	c18	53
Treatment naive	P18_pre	c19	28
Treatment naive	P18_pre	c20	46
Treatment naive	P18_pre	c21	38
Treatment naive	P18_pre	c22	42
Treatment naive	P18_pre	c23	8
Treatment naive	P18_pre	c24	65
Treatment naive	P18_pre	c25	71
Treatment naive	P18_pre	c26	24
Treatment naive	P18_pre	c27	55
Treatment naive	P18_pre	c28	67
Treatment naive	P18_pre	c29	4
Treatment naive	P18_pre	c30	19
Treatment naive	P18_pre	c31	19
Treatment naive	P18_pre	c32	2
Treatment naive	P18_pre	c33	8
Treatment naive	P19_pre	c1	459
Treatment naive	P19_pre	c2	190
Treatment naive	P19_pre	c3	176
Treatment naive	P19_pre	c4	161
Treatment naive	P19_pre	c5	120
Treatment naive	P19_pre	c6	540
Treatment naive	P19_pre	c7	645
