Sample	V1
P1_post_1	0.232377481305102
P1_post_2	0.176586191946528
P1_post_3	0.200538288866801
P1_pre	0.260088364806392
P10_post_1	0.367324195903286
P10_pre	0.449726124656694
P11_pre	0.392289119262803
P12_pre	0.506095284286215
P13_post_1	0.323973350745928
P13_post_2	0.212884140126499
P13_pre	0.204225093989884
P14_pre	0.345470051592807
P15_pre	0.368971446226039
P16_pre	0.20533585989608
P17_pre	0.252429922151389
P18_pre	0.419291011457528
P19_post_1	0.851100810351597
P19_pre	0.703231542244974
P2_pre	0.458591140631513
P20_pre	0.0929625691760054
P21_pre	0.226854168751877
P22_pre	0.251043775303644
P23_pre	0.244435417052118
P24_pre	0.40123907554865
P25_pre	0.273695573062106
P26_pre	0.233594976452119
P27_pre	0.104850526442998
P28_pre	0.313718084198823
P29_post_1	0.240495763465411
P29_pre	0.321252043972956
P3_pre	0.0462634131439264
P30_post_1	0.434799544884423
P30_pre	0.22505069835757
P33_post_1	0.266674123718708
P33_pre	0.318455341294396
P35_post_1	0.440760893442699
P35_pre	0.314605419615657
P36_post_1	0.298318032415278
P37_post_1	0.266555183946488
P38_post_1	0.53620722803221
P4_pre	0.252838925976541
P5_pre	0.2899658523772
P6_pre	0.224843956043956
P7_pre	0.328046693558245
P8_pre	0.618485223557491
P9_pre	0.128420441673454
